"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","46,101,640","±154,221"
"    Less than 10.0 percent","1,650,115","±26,645"
"    10.0 to 14.9 percent","3,532,220","±39,851"
"    15.0 to 19.9 percent","5,152,781","±44,866"
"    20.0 to 24.9 percent","5,412,134","±50,270"
"    25.0 to 29.9 percent","4,969,965","±45,294"
"    30.0 to 34.9 percent","4,056,945","±41,924"
"    35.0 to 39.9 percent","2,966,608","±39,062"
"    40.0 to 49.9 percent","4,012,728","±42,766"
"    50.0 percent or more","11,200,981","±70,576"
"    Not computed","3,147,163","±36,488"
