CoC_Code,CoC_Name,Homeless_Count,Sheltered_Count,Unsheltered_Count,Year,State,Area_Name,Total_Pop,Poverty_Count,Unemployed_Count,Vacant_Units,Total_Housing_Units,Rent_Burden_30_35,Rent_Burden_35_40,Rent_Burden_40_50,Rent_Burden_50_Plus,Total_Pop_MOE,Poverty_Count_MOE,Unemployed_Count_MOE,Vacant_Units_MOE,Total_Housing_Units_MOE,Rent_Burden_30_35_MOE,Rent_Burden_35_40_MOE,Rent_Burden_40_50_MOE,Rent_Burden_50_Plus_MOE,Poverty_Rate,Unemployment_Rate,Vacancy_Rate,Rent_Burden_Rate
AK-500,Anchorage CoC,1494.0,1369.0,125.0,2022,AK,Anchorage,290674,27415.0,7747.0,11804,118938,3792.0,2529.0,3508.0,7685.0,0.0,2611.0,732.0,876.0,166.0,461.0,530.0,519.0,752.0,0.0943152810364876,0.026651850526706895,0.09924498478198725,0.06025306700977728
AK-501,Alaska Balance of State CoC,826.0,594.0,232.0,2022,AK,Alaska Balance of State,434533,47184.0,14878.0,47529,200926,3651.0,2734.0,4080.0,8135.0,200.18491451655393,1803.080974332545,849.6622858524438,980.4978327360036,836.24637517899,452.82999017291246,363.3015276598765,486.37022935208523,661.5610327097569,0.10858553895791574,0.034239056642418414,0.23654977454386192,0.04280457410599425
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",943.0,601.0,342.0,2022,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties",987900,128760.0,23268.0,52765,436173,10250.0,7025.0,9398.0,28030.0,0.0,5134.6822686511,1570.5632747520872,1847.515358528854,192.7200041511,976.4066775683174,727.4077261068926,966.004658373861,1426.0553986434047,0.1303370786516854,0.02355299119344063,0.12097264158946107,0.055373013462901105
AL-501,Mobile City & County/Baldwin County CoC,585.0,388.0,197.0,2022,AL,Mobile City & County/Baldwin County,647298,94798.0,14868.0,59551,309958,6794.0,4499.0,6465.0,18757.0,0.0,4184.967861286393,1068.5340425087074,1774.919153088388,141.40014144264495,908.2400563727632,742.081531908725,872.708427826843,1250.908469872996,0.14645186606478006,0.022969327882984343,0.19212602997825512,0.05641142101474128
AL-502,Florence/Northwest Alabama CoC,232.0,198.0,34.0,2022,AL,Florence/Northwest Alabama,269584,40538.0,4746.0,23166,128858,2428.0,1213.0,2051.0,4253.0,0.0,2258.059122343788,573.7177006159039,1087.4208017138535,104.49880382090505,489.2770176495111,277.24537868105216,388.30786754841836,555.018017725551,0.1503724256632441,0.01760490236809306,0.17977929193375655,0.03689017152353256
AL-503,Huntsville/North Alabama CoC,549.0,318.0,231.0,2022,AL,Huntsville/North Alabama,617082,68306.0,13000.0,21108,267253,5794.0,3584.0,5147.0,13915.0,0.0,3452.3749796335856,1111.7935959520544,1240.6816674715558,217.56148556212793,641.1809417005468,529.344878127672,653.0857524092835,1190.9617961966705,0.11069193397311865,0.0210668922444667,0.07898133977916057,0.04608787811020253
AL-504,Montgomery City & County CoC,278.0,232.0,46.0,2022,AL,Montgomery City & County,395068,62732.0,10025.0,24432,176096,3172.0,2847.0,4254.0,13097.0,0.0,3286.825215918851,1043.2425413105047,1072.8042691935934,116.11632098891181,543.2402783299485,510.6260862901542,615.8960951329371,1052.7183858943474,0.1587878542428139,0.025375378415867646,0.13874250408867891,0.059154373424321886
AL-506,Tuscaloosa City & County CoC,40.0,39.0,1.0,2022,AL,Tuscaloosa City & County,231558,36412.0,6434.0,16587,101330,2550.0,1311.0,3184.0,8164.0,0.0,2547.0,1083.0,786.0,122.0,467.0,314.0,558.0,794.0,0.1572478601473497,0.02778569516060771,0.16369288463436296,0.0656811684329628
AL-507,Alabama Balance of State CoC,935.0,356.0,579.0,2022,AL,Alabama Balance of State,1795684,321019.0,45690.0,157551,835183,12870.0,9642.0,12009.0,38223.0,0.0,5948.70666615862,1853.775067261398,2486.2338988920574,335.7707551291506,885.8651138858556,837.5768621446034,894.1191195808308,1537.0494461792698,0.17877254572630819,0.02544434321406216,0.18864248913112455,0.0405104684343125
AR-500,Little Rock/Central Arkansas CoC,859.0,363.0,496.0,2022,AR,Little Rock/Central Arkansas,604819,85933.0,14402.0,29923,277052,7773.0,4788.0,6103.0,19322.0,0.0,4711.4797038722345,1138.0140596671026,1452.3171141317587,166.61032380978077,955.0926656612959,739.5539196028915,822.4913373404002,1331.07325117741,0.14208052326398476,0.023812082623065743,0.1080049954521173,0.06280556662406439
AR-501,Fayetteville/Northwest Arkansas CoC,343.0,243.0,100.0,2022,AR,Fayetteville/Northwest Arkansas,639551,76227.0,11717.0,24073,262356,7042.0,4814.0,5284.0,13618.0,0.0,3529.3074391443997,979.0071501271071,1396.5464546516166,170.77470538695127,809.4868745075488,644.6766631420746,621.7539706346877,1004.2190995992856,0.11918830554560934,0.018320665591954357,0.09175700193630029,0.04809311532622105
AR-503,Arkansas  Balance of State  CoC,814.0,286.0,528.0,2022,AR,Arkansas  Balance of State,877785,158854.0,23895.0,62267,401707,8756.0,5722.0,9251.0,23668.0,0.0,4376.259247348127,1358.793582557704,1871.697625152097,247.25897354797863,787.891489990849,625.8482244122771,876.9344331248489,1259.1100031371366,0.18097142238703098,0.027221927920846222,0.15500601184445378,0.05399613800645944
AR-505,Southeast Arkansas CoC,69.0,61.0,8.0,2022,AR,Southeast Arkansas,286224,52013.0,6478.0,31709,136839,2042.0,1703.0,2205.0,5803.0,0.0,2292.8829015019496,663.3438022624467,1114.6053113097928,260.5379051117131,354.36421941273926,323.61242250568813,380.46813269970454,551.1551505701457,0.181721309184415,0.02263262339985466,0.23172487375675063,0.04106224495500028
AZ-500,Arizona Balance of State CoC,2300.0,951.0,1349.0,2022,AZ,Arizona Balance of State,1265680,215154.0,36805.0,130762,629773,11791.0,9610.0,11387.0,26393.0,0.0,5333.031314365217,1585.1460500534329,2358.98219577851,294.46052366998197,1053.446723854605,881.867903940267,877.2491094324348,1371.4116814436138,0.1699908349661842,0.029079230137159472,0.20763354415003502,0.04675826433221667
AZ-501,Tucson/Pima County CoC,2227.0,578.0,1649.0,2022,AZ,Tucson/Pima County,1042393,151733.0,28849.0,47983,471058,13640.0,9249.0,13630.0,35088.0,0.0,5016.0,1710.0,1871.0,215.0,935.0,951.0,1083.0,1384.0,0.1455621824014551,0.027675742258438038,0.1018621910677666,0.06869482047557879
AZ-502,"Phoenix, Mesa/Maricopa County CoC",9026.0,3997.0,5029.0,2022,AZ,"Phoenix, Mesa/Maricopa County",4864209,549989.0,120404.0,179887,1996937,56357.0,41214.0,56251.0,138041.0,0.0,10945.939018649793,3412.1034568136997,3831.019838110996,509.1267032871091,2247.0999087713035,1839.6543153538385,2436.400008208833,3776.6869078598506,0.11306853796783814,0.024753048234563934,0.09008145975561573,0.06000215040102101
CA-500,San Jose/Santa Clara City & County CoC,10028.0,2320.0,7708.0,2022,CA,San Jose/Santa Clara City & County,1916831,129834.0,46592.0,37935,688287,24263.0,18581.0,22828.0,58096.0,0.0,5100.0,1659.0,1878.0,307.0,1434.0,1068.0,1218.0,1896.0,0.06773367083483103,0.02430678552256302,0.05511509007143822,0.06456907259951451
CA-501,San Francisco CoC,7754.0,3357.0,4397.0,2022,CA,San Francisco,851036,87849.0,28177.0,47356,408198,16099.0,10108.0,14094.0,38401.0,0.0,3693.0,1539.0,2097.0,298.0,1120.0,913.0,1109.0,1545.0,0.10322595048858098,0.03310905766618569,0.11601232735094244,0.09247787402648067
CA-502,"Oakland, Berkeley/Alameda County CoC",9747.0,2612.0,7135.0,2022,CA,"Oakland, Berkeley/Alameda County",1663823,149843.0,45290.0,37038,622856,22852.0,15722.0,22545.0,64479.0,0.0,5521.0,1849.0,1732.0,331.0,1150.0,872.0,1453.0,1914.0,0.0900594594497131,0.027220443520735077,0.05946478800878534,0.07548759693789543
CA-503,Sacramento City & County CoC,9278.0,2614.0,6664.0,2022,CA,Sacramento City & County,1579211,204388.0,50165.0,25038,588894,20950.0,17284.0,23482.0,61279.0,0.0,7269.0,2123.0,1381.0,528.0,1187.0,1309.0,1337.0,2298.0,0.12942412381879306,0.031765862826436744,0.04251698947518569,0.07788382932996288
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2893.0,805.0,2088.0,2022,CA,"Santa Rosa, Petaluma/Sonoma County",488436,42925.0,13543.0,15740,205393,7163.0,5027.0,6835.0,18407.0,0.0,2744.0,1192.0,967.0,115.0,853.0,642.0,627.0,1197.0,0.08788254755996691,0.02772727644972934,0.07663357563305469,0.07663644776388309
CA-505,Richmond/Contra Costa County CoC,3093.0,764.0,2329.0,2022,CA,Richmond/Contra Costa County,1162648,95255.0,35616.0,15520,424057,11714.0,10000.0,13799.0,33852.0,0.0,4964.0,2030.0,1014.0,179.0,1066.0,873.0,1096.0,1420.0,0.08192935437036833,0.03063351934549408,0.03659885345602124,0.05966122162511783
CA-506,"Salinas/Monterey, San Benito Counties CoC",2404.0,779.0,1625.0,2022,CA,"Salinas/Monterey, San Benito Counties",502362,56745.0,12631.0,13403,164228,7042.0,5061.0,6935.0,16898.0,0.0,3748.0901803451848,925.0686461014664,691.6834536115491,172.80046296234278,750.808231174912,484.3345950889736,682.2792683351884,953.8055357356656,0.11295639399476871,0.02514322341259888,0.08161214896363592,0.07153407303896393
CA-507,Marin County CoC,1121.0,291.0,830.0,2022,CA,Marin County,260485,17809.0,7887.0,7972,111681,3119.0,2581.0,3510.0,9305.0,0.0,1545.0,805.0,631.0,102.0,474.0,460.0,464.0,729.0,0.06836862007409256,0.030278135017371442,0.07138188232555225,0.07107894888381289
CA-508,Watsonville/Santa Cruz City & County CoC,2299.0,525.0,1774.0,2022,CA,Watsonville/Santa Cruz City & County,268571,29302.0,8465.0,9946,106433,3008.0,2243.0,3181.0,10733.0,0.0,2356.0,922.0,786.0,131.0,436.0,424.0,411.0,991.0,0.10910336559047701,0.03151866731702231,0.09344846053385698,0.07135915642418578
CA-509,Mendocino County CoC,830.0,270.0,560.0,2022,CA,Mendocino County,91145,14483.0,3811.0,6823,41380,1230.0,1023.0,1462.0,3113.0,0.0,1468.0,622.0,537.0,60.0,295.0,283.0,372.0,525.0,0.15890065280596852,0.041812496571397226,0.16488641855969066,0.07491359921004992
CA-510,"Turlock, Modesto/Stanislaus County CoC",1857.0,911.0,946.0,2022,CA,"Turlock, Modesto/Stanislaus County",552063,75125.0,21061.0,7570,183317,5121.0,4523.0,6318.0,18004.0,0.0,3657.0,1451.0,741.0,142.0,568.0,506.0,725.0,1061.0,0.13608048356799857,0.03814963147321954,0.041294588063300185,0.06152558675368572
CA-511,Stockton/San Joaquin County CoC,2319.0,964.0,1355.0,2022,CA,Stockton/San Joaquin County,779445,98352.0,26331.0,14904,252327,9453.0,6537.0,8762.0,22463.0,0.0,3963.0,1652.0,988.0,145.0,973.0,631.0,698.0,1030.0,0.12618209110328504,0.033781729307391796,0.0590662117014826,0.060575152833105605
CA-512,Daly/San Mateo County CoC,1808.0,716.0,1092.0,2022,CA,Daly/San Mateo County,754250,48137.0,19184.0,19888,284211,7970.0,5522.0,9822.0,26396.0,0.0,2480.0,1196.0,1075.0,211.0,722.0,617.0,814.0,1328.0,0.06382101425256878,0.025434537620152468,0.06997617966933017,0.06590652966523036
CA-513,"Visalia/Kings, Tulare Counties CoC",1235.0,412.0,823.0,2022,CA,"Visalia/Kings, Tulare Counties",625961,109025.0,24271.0,13426,197690,6292.0,4520.0,7221.0,17847.0,0.0,5114.598713486719,1595.501488560885,935.3598238111364,284.35541141325234,713.6056333858359,568.4593213238745,847.0395504343348,1232.8284552199466,0.17417219283629493,0.03877398112661971,0.06791441145227377,0.0573198649756135
CA-514,Fresno City & County/Madera County CoC,4216.0,1878.0,2338.0,2022,CA,Fresno City & County/Madera County,1165523,223829.0,47435.0,26971,389150,13835.0,10644.0,14676.0,41823.0,0.0,7558.1858273000935,2097.6331900501573,1209.4647576510858,251.18120948828954,1148.9599644896248,895.2502443451216,1180.4448314089059,1617.5243429389247,0.19204168429108648,0.04069846755490883,0.06930746498779392,0.06947782240247512
CA-515,"Roseville, Rocklin/Placer County CoC",750.0,342.0,408.0,2022,CA,"Roseville, Rocklin/Placer County",508930,37951.0,10556.0,32828,226780,4605.0,3386.0,5005.0,13558.0,0.0,2260.3417883143247,797.8652768481656,1096.6175267612678,143.60013927569847,500.16497278398055,443.42417615642023,562.6970765873943,866.2251439435362,0.07457017664511818,0.020741555813176663,0.14475703324808184,0.0521761342424302
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1837.0,741.0,1096.0,2022,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",316453,42162.0,9130.0,27348,148320,3222.0,2158.0,3178.0,9666.0,206.0,2170.2592011093975,805.437769166557,881.6643352206099,171.48469319446562,426.5126023929422,354.11297632252905,473.8987233576389,737.2916654893096,0.13323305514562983,0.02885104581091031,0.1843851132686084,0.05758833065257716
CA-517,Napa City & County CoC,495.0,129.0,366.0,2022,CA,Napa City & County,137384,10620.0,3733.0,6370,55588,1616.0,1223.0,1726.0,4101.0,0.0,1110.0,480.0,504.0,104.0,300.0,262.0,343.0,459.0,0.07730157805858033,0.027172014208350317,0.1145930776426567,0.06307867000524078
CA-518,Vallejo/Solano County CoC,1179.0,259.0,920.0,2022,CA,Vallejo/Solano County,450995,39705.0,13275.0,7526,162513,5608.0,4096.0,5283.0,14786.0,0.0,2448.0,1023.0,670.0,187.0,599.0,574.0,552.0,964.0,0.0880386700517744,0.029434916129890576,0.04631014134253875,0.06601625295180656
CA-519,"Chico, Paradise/Butte County CoC",1006.0,418.0,588.0,2022,CA,"Chico, Paradise/Butte County",213605,38015.0,7344.0,9750,93069,2571.0,2397.0,3490.0,9811.0,0.0,1954.0,822.0,906.0,80.0,439.0,399.0,418.0,742.0,0.17796868050841508,0.03438121766812575,0.10476098378622313,0.0855270241801456
CA-520,Merced City & County CoC,855.0,487.0,368.0,2022,CA,Merced City & County,282290,51272.0,13272.0,5135,87895,3044.0,2342.0,3208.0,8142.0,0.0,3325.0,984.0,592.0,112.0,445.0,488.0,432.0,718.0,0.18162882142477593,0.04701548053420242,0.058421980772512656,0.059286549293279964
CA-521,"Davis, Woodland/Yolo County CoC",746.0,368.0,378.0,2022,CA,"Davis, Woodland/Yolo County",217141,36521.0,5740.0,4426,80533,2698.0,2143.0,3008.0,11115.0,0.0,2220.0,724.0,515.0,72.0,405.0,406.0,449.0,686.0,0.16819025425875353,0.026434436610313115,0.05495883675015211,0.08733495747003099
CA-522,Humboldt County CoC,1648.0,339.0,1309.0,2022,CA,Humboldt County,136132,26394.0,6162.0,7811,62306,2004.0,1552.0,2636.0,7453.0,0.0,1599.0,686.0,610.0,67.0,399.0,378.0,440.0,704.0,0.19388534657538273,0.04526488995974495,0.12536513337399288,0.10023359680310287
